date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:05	27882/27882	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:14:03%20GMT	http://www.joinoffice.kr/shop_info/privacy.htm	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/shop_info/privacy.html	(from http://www.joinoffice.kr/)
22:14:06	44670/44670	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:14:04%20GMT	http://www.joinoffice.kr/shop_info/agree.htm	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/shop_info/agree.html	(from http://www.joinoffice.kr/)
22:14:07	7354/7354	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a2fb6c8-1cba%22	http://www.joinoffice.kr/js/all_bottom_script.js	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/js/all_bottom_script.js	(from http://www.joinoffice.kr/)
22:14:07	53043/53043	---M--	200	added ('OK')	image/jpeg	etag:%226464472f-cf33%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu41684293422.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu41684293422.jpg	(from http://www.joinoffice.kr/)
22:14:07	120566/120566	---M--	200	added ('OK')	image/jpeg	etag:%2264643f68-1d6f6%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/gong-dong1684291431.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/gong-dong1684291431.jpg	(from http://www.joinoffice.kr/)
22:14:08	5579/5579	---MCZ	200	added ('OK')	application/javascript	etag:W/%22666f9b55-15cb%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/page_inc/pc_33655_bottom.js	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/page_inc/pc_33655_bottom.js	(from http://www.joinoffice.kr/)
22:14:08	6096/6096	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263212624-17d0%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.eot	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.eot	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:08	5932/5932	---M--	200	added ('OK')	application/octet-stream	etag:%2263212623-172c%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.ttf	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.ttf	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:08	6008/6008	---M--	200	added ('OK')	application/font-woff	etag:%2263212623-1778%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.woff	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.woff	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:09	16551/16551	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263212623-40a7%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.svg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/uf2smart204/icomoon/icomoon.svg	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:09	4692/4692	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225a94e2d5-1254%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.eot	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.eot	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:09	4604/4604	---M--	200	added ('OK')	application/font-woff	etag:%225a94e2d5-11fc%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.woff	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.woff	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
